employee_id,email,password,role
1,admin@gmail.com,123,ADMIN
2,larsonderek@yahoo.com,+#9T1bVw4x,USER
3,eric39@hotmail.com,F44mMnIkU%,USER
4,john51@chavez.net,P1VwmPDg(I,USER
5,xporter@hotmail.com,C+2G&X5c7P,USER
6,michael74@schmidt.net,jr*7ekAmQS,USER
7,jamie14@gmail.com,297F(f+S*6,USER
8,aburgess@yahoo.com,Osi!IRJ1@6,USER
9,welchfrank@zhang.com,^HBnDli^E2,USER
10,rayrobert@olson-ball.com,_Mp!4DrI34,USER
11,steven53@kennedy-hall.com,%3dl50Xm($,USER
12,ramirezgeoffrey@stanley-ortiz.net,P2kH4lUp)8,USER
13,rcastillo@yahoo.com,&2B15BM#ys,USER
14,benjamincharles@bailey.info,2hZHpDuQ$J,USER
15,uadams@riddle-clements.biz,B9aJ6Sht#R,USER
16,archerpatrick@williams-cummings.net,$EMbt0My#$,USER
17,crivera@gmail.com,0w_87Mjop#,USER
18,kellyflores@gmail.com,$eiQBI!96o,USER
19,carol39@hotmail.com,&14QGEiD9C,USER
20,brent19@ortega.org,_1jTrIyLZN,USER
21,amandakent@hotmail.com,B!r8McdpgQ,USER
22,ortizwilliam@schwartz.com,(0MtOPjLp6,USER
23,alvaradojohn@gmail.com,3+Puv1!n^M,USER
24,stevenchase@yahoo.com,p$4c9DEZ%s,USER
25,troyferguson@cunningham.com,TOhn@2VbBX,USER
26,qcardenas@yahoo.com,4v^Fzzrm^y,USER
27,donna85@hotmail.com,)G08cNTu*^,USER
28,xcoleman@bryant.com,+y5$90Cz53,USER
29,curtisfowler@gmail.com,eh6pNURje@,USER
30,jacobboone@moore-peterson.com,(jv4mEsM14,USER
31,benjaminfreeman@yahoo.com,#1Wkao%t%W,USER
32,sara02@gmail.com,y2!)tAXP*h,USER
33,lindsey51@gmail.com,MOb5wy(tC!,USER
34,sydneyallen@gmail.com,k+64Ek#^W1,USER
35,tonybutler@yahoo.com,&64EWSep@J,USER
36,hebertmichael@barker.com,$CkR*Tka8e,USER
37,amy93@yahoo.com,Jhi8V1V*q%,USER
38,cathymcclure@yahoo.com,^*0d(fLhlD,USER
39,tylersnyder@hotmail.com,M$b6)0Ax4&,USER
40,clarkhayley@robertson-martin.com,2WGucdKw&S,USER
41,clarkpaula@mcdaniel-watts.info,+)x4hVM9Lk,USER
42,mariah98@gmail.com,L%0HzZkX$y,USER
43,dford@king.org,r@!u8M)r&D,USER
44,aaronmanning@hotmail.com,^P7OGVbxS1,USER
45,mortonkelsey@taylor.com,3&eoGt4q)t,USER
46,owenchristopher@hotmail.com,!H66ILmBaK,USER
47,iburns@gmail.com,_5qYFJfh5O,USER
48,williamsmargaret@gmail.com,94RVucD1_m,USER
49,maldonadonicholas@gmail.com,@09TtQ+oQ(,USER
50,jonathan28@compton.com,oK7^!Del$i,USER
51,jonathan32@yahoo.com,pe5GAxp*$t,USER
52,lewisbrenda@gmail.com,#v*Ht#Kj%7,USER
53,jameswatkins@jones.biz,v3WN7Yvz!^,USER
54,john61@stark.com,E_8y0%Glfk,USER
55,jerry11@gmail.com,r*El*8cj%G,USER
56,vasquezashley@olsen.biz,s!5n4Lpj+4,USER
57,dominique60@hotmail.com,594#VXjUS@,USER
58,wking@hotmail.com,v72P^Cqrf&,USER
59,rodriguezaustin@brewer.biz,pr08P&aY^!,USER
60,beasleyveronica@gmail.com,#NAME?,USER
